All Saints' Day|11/1/2014|-16711936
All Saints' Day|11/1/2014|-16711936
All Soul's Day|11/2/2014|-16711936
All Soul's Day|11/2/2014|-16711936
Bonifacio Day|11/30/2014|-16776961
Bonifacio Day|11/30/2014|-16776961
Christmas Day|12/25/2014|-65536
Christmas Day|12/25/2014|-65536
New Year's Day|1/1/2015|-65536
New Year's Day|1/1/2015|-65536
Additional Class Day - Saturday Schedule|2/8/2015|-16711936
Additional Class Day - Saturday Schedule|2/8/2015|-16711936
Start Finals Week|2/9/2015|-16711936
Start Finals Week|2/9/2015|-16711936
DLSU Christmas Party|2/12/2015|-65536
DLSU Christmas Party|2/12/2015|-65536
Start of Trimestral Break|2/16/2015|-16711936
Start of Trimestral Break|2/16/2015|-16711936
